title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,east coast hip hop,2018,2018‑08‑31,80,57,85,-8,10,29,205,6,14,81
STARGAZING,Travis Scott,rap,2018,2018‑08‑31,150,79,49,-4,19,6,271,1,4,85
Look At Me!,XXXTENTACION,emo rap,2017,2018‑09‑01,139,73,76,-6,10,35,126,26,28,81
Better Now,Post Malone,dfw rap,2018,2018‑08‑31,145,58,68,-6,14,34,231,33,4,85
See You Again (feat. Kali Uchis),"Tyler, The Creator",hip hop,2017,2018‑08‑31,79,56,56,-9,11,62,180,37,10,79
Everyday,Logic,conscious hip hop,2018,2018‑08‑31,150,76,67,-4,8,47,205,3,4,64
Dubai Shit,Huncho Jack,hip hop,2017,2018‑08‑31,138,53,77,-4,8,23,228,7,5,66
Counting Stars,OneRepublic,dance pop,2014,2018‑08‑31,122,71,66,-5,12,48,258,7,4,73
Despacito,Luis Fonsi,latin,2019,2018‑08‑31,178,80,66,-5,7,84,229,20,15,79
Summer,Calvin Harris,dance pop,2014,2018‑08‑31,128,86,60,-4,14,74,223,2,3,79
broken,lovelytheband,indie pop,2018,2018‑08‑31,123,73,67,-6,4,51,205,0,4,74
Midsummer Madness,88rising,pop,2018,2018‑08‑31,90,68,41,-8,17,17,281,36,9,76
Swimming Pools (Drank),Kendrick Lamar,conscious hip hop,2012,2018‑08‑31,74,45,58,-6,9,19,248,1,28,71
OTW,Khalid,alternative r&b,2018,2018‑08‑31,73,68,65,-6,11,28,263,18,5,76
Tremor - Sensation 2014 Anthem,Dimitri Vegas & Like Mike,belgian dance,2014,2018‑08‑31,128,94,63,-4,96,45,294,0,4,57
No Role Modelz,J. Cole,conscious hip hop,2014,2018‑08‑31,100,52,70,-8,6,46,293,30,33,81
In the End,Linkin Park,alternative metal,2000,2018‑08‑31,105,86,56,-6,21,40,217,1,6,83
Lucky You (feat. Joyner Lucas),Eminem,detroit hip hop,2018,2018‑09‑01,153,79,88,-5,13,57,245,6,31,78
