title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,target
Aur Tanha,Pritam,desi pop,2020,2020‑05‑18,170,56,43,-8,9,20,296,79,3,57,1
Come To Brazil,Why Don't We,boy band,2019,2020‑05‑18,100,57,55,-5,21,42,139,32,11,68,1
Mehrama,Pritam,desi pop,2020,2020‑05‑16,108,63,56,-9,10,37,249,86,3,63,1
Downtown Train,Everything But The Girl,dance rock,1990,2020‑05‑09,137,19,40,-14,7,20,189,72,4,44,0
Fais comme ça,Vitaa,francoton,2019,2020‑04‑24,103,67,77,-5,9,82,201,18,11,54,0
C’est pas le paradis,Vitaa,francoton,2019,2020‑04‑24,93,66,63,-7,8,69,193,59,14,49,0
Ça va ça vient,Vitaa,francoton,2019,2020‑04‑24,104,71,60,-6,8,54,204,23,13,62,1
Pourcent,Naps,french hip hop,2020,2020‑04‑18,95,72,70,-6,10,42,214,65,8,49,0
Papaoutai,Stromae,belgian pop,2013,2020‑04‑16,116,81,73,-7,6,25,232,3,8,55,0
C'est La Vie,Khaled,classic arab pop,2012,2020‑04‑16,130,93,62,-4,36,81,226,3,5,58,0
Control,Armaan Malik,desi pop,2020,2020‑03‑30,99,53,88,-6,17,64,153,12,11,59,1
In Your Eyes,The Weeknd,canadian contemporary r&b,2020,2020‑03‑26,100,72,67,-5,7,72,238,0,3,92,1
Know Your Worth,Khalid,alternative r&b,2020,2020‑03‑02,103,69,79,-8,28,51,181,14,7,88,1
Tumse Hi Tumse,Shekhar Ravjiani,filmi,2010,2020‑02‑24,92,53,70,-6,10,77,262,10,4,48,0
Andhadhun Theme 02,Amit Trivedi,desi pop,2018,2020‑02‑15,138,34,54,-14,12,20,160,96,5,31,0
Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,2020‑02‑15,124,51,56,-7,6,39,255,59,3,68,0
Wo Ladki,Arijit Singh,desi pop,2018,2020‑02‑12,130,61,68,-6,46,39,253,18,3,44,0
Naina Da Kya Kasoor - Unplugged,Ayushmann Khurrana,desi pop,2018,2020‑02‑10,126,42,79,-8,10,79,174,74,4,40,0
"Jaane Kyun (From ""Dostana"")",Vishal-Shekhar,desi pop,2013,2020‑01‑27,100,81,78,-9,24,79,278,6,5,44,0
Off The Cuff,Dylan Sitts,chill beats,2019,2020‑01‑27,150,50,67,-9,9,27,130,2,6,54,0
Realm,Ballpoint,chill beats,2019,2020‑01‑27,156,46,70,-7,11,30,126,20,5,51,1
Mind Control,Alpha Brain Waves,brain waves,2018,2020‑01‑27,142,0,14,-43,9,4,130,99,5,43,0
Solitude,leaf beach,chillhop,2018,2020‑01‑27,88,52,84,-8,14,12,110,20,8,14,0
ocean floor,mommy,chillhop,2018,2020‑01‑27,202,31,61,-18,10,67,68,88,30,56,0
Hotel,Dylan Sitts,chill beats,2019,2020‑01‑27,91,36,64,-9,12,15,160,8,7,58,0
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,desi pop,2020,2020‑01‑27,180,24,28,-10,8,21,341,66,4,65,0
"Shayad (From ""Love Aaj Kal"")",Pritam,desi pop,2020,2020‑01‑24,136,46,49,-7,14,35,248,79,3,70,1
"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,desi pop,2019,2020‑01‑24,87,38,72,-8,13,48,201,59,6,70,0
How Long,Charlie Puth,dance pop,2018,2020‑01‑17,110,56,85,-5,4,81,201,21,8,74,1
Attention,Charlie Puth,dance pop,2018,2020‑01‑17,100,61,78,-5,13,80,209,11,5,82,1
The Way I Am,Charlie Puth,dance pop,2018,2020‑01‑17,115,77,76,-6,6,64,186,31,19,67,1
Nakhre,Zack Knight,desi pop,2015,2020‑01‑17,170,63,52,-7,28,42,195,26,8,45,1
Escápate Conmigo (feat. Ozuna),Wisin,latin,2017,2020‑01‑17,92,86,74,-3,9,79,233,3,8,74,0
Don't Call Me Up,Mabel,dance pop,2019,2020‑01‑17,99,88,67,-3,8,23,178,30,15,83,0
Die For Me (feat. Future & Halsey),Post Malone,dfw rap,2019,2020‑01‑17,145,66,61,-3,21,45,245,19,4,78,0
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,emo rap,2018,2020‑01‑17,105,72,70,-5,13,29,199,3,4,76,1
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,2020‑01‑17,98,62,86,-6,9,67,204,15,8,84,1
Easier – Remix (with Charlie Puth),5 Seconds of Summer,boy band,2019,2020‑01‑17,176,45,42,-5,12,61,157,47,23,68,1
Ghungroo,Arijit Singh,desi pop,2019,2020‑01‑17,118,73,70,-6,53,86,303,7,3,46,1
I Still Do,Why Don't We,boy band,2019,2020‑01‑17,114,74,81,-6,11,57,147,8,6,51,1
Befikra,Meet Bros.,desi pop,2016,2020‑01‑17,137,98,60,-4,10,45,352,14,24,53,0
